product_name,price,rating,stock_status,product_url,scraped_at
The Caves are Haunted iPhone Tough Case,$51.15,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Caves-are-Haunted-by-katherineblower/75871949/3bp7,2026-08-05T12:10:39.017243
Green sardine iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Green-sardine-by-Lisbon-dreams/39368318/3bp7,2026-08-05T12:10:39.081747
Honey iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Honey-by-hellocloudy/42202256/3bp7,2026-08-05T12:10:39.137694
Silver Surfer iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Silver-Surfer-by-AhmedRaafatArt/29507564/3bp7,2026-08-05T12:10:39.198245
Cats Cats Cats iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Cats-Cats-Cats-by-ninay/17753197/3bp7,2026-08-05T12:10:39.253722
Iced Coffee Cat iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Iced-Coffee-Cat-by-kilkennycat/14526616/3bp7,2026-08-05T12:10:39.319457
Purple Blue Galaxy Nebula iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Purple-Blue-Galaxy-Nebula-by-2sweetsDesign/39748965/3bp7,2026-08-05T12:10:39.385509
G3 Orange iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/G3-Orange-by-Koleidescope/172347165/3bp7,2026-08-05T12:10:39.451418
Travel Posters - Hitchcock's Rear Window - Greenwitch Village New York iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Travel-Posters-Hitchcock-s-Rear-Window-Greenwitch-Village-New-York-by-ruiricardo/31083961/3bp7,2026-08-05T12:10:39.519047
Shark day iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Shark-day-by-pikaole/52512884/3bp7,2026-08-05T12:10:39.583268
You Are What You Choose To Be iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/You-Are-What-You-Choose-To-Be-by-RebekahLynne/68245314/3bp7,2026-08-05T12:10:39.647876
Frogs Doodle iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Frogs-Doodle-by-tdoodles/46300971/3bp7,2026-08-05T12:10:39.704494
Awesome Mix replica iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Awesome-Mix-replica-by-Ateyo/15669672/3bp7,2026-08-05T12:10:39.768909
